"year","state","party","candidate","candidatevotes","party_percentage"
2004,"NEW JERSEY","DEMOCRAT","JOHN KERRY",207666,5.75301320805576
2004,"NEW MEXICO","DEMOCRAT","JOHN KERRY",132252,17.4866191372781
2004,"NEW YORK","DEMOCRAT","JOHN KERRY",509841,6.89809926510979
2004,"NORTH CAROLINA","REPUBLICAN","GEORGE W. BUSH",177324,5.06494274361634
2004,"NORTH DAKOTA","REPUBLICAN","GEORGE W. BUSH",39619,12.6645846186304
2004,"OHIO","DEMOCRAT","JOHN KERRY",448486,7.97219014187031
2004,"OREGON","DEMOCRAT","JOHN KERRY",259585,14.1325971182209
2004,"PENNSYLVANIA","DEMOCRAT","JOHN KERRY",542205,9.40387084868545
2004,"SOUTH CAROLINA","REPUBLICAN","GEORGE W. BUSH",111481,6.89119939668548
2004,"SOUTH DAKOTA","REPUBLICAN","GEORGE W. BUSH",44189,11.3826101515913
2004,"TENNESSEE","DEMOCRAT","JOHN KERRY",215810,8.87926487372526
2004,"TEXAS","REPUBLICAN","GEORGE W. BUSH",584723,7.89020111192539
2004,"UTAH","REPUBLICAN","GEORGE W. BUSH",215728,23.2504602066727
2004,"VERMONT","DEMOCRAT","JOHN KERRY",49369,15.807741691722
2004,"VIRGINIA","DEMOCRAT","JOHN KERRY",245671,7.6811385310066
2004,"WASHINGTON","DEMOCRAT","JOHN KERRY",580378,20.2994385614414
2004,"WEST VIRGINIA","REPUBLICAN","GEORGE W. BUSH",44430,5.87963618510466
2004,"WISCONSIN","DEMOCRAT","JOHN KERRY",297653,9.93167516792587
2004,"WYOMING","REPUBLICAN","GEORGE W. BUSH",25951,10.6606470907209
2008,"ALABAMA","DEMOCRAT","BARACK OBAMA",166121,7.91120568010862
2008,"ARIZONA","REPUBLICAN","JOHN MCCAIN",746448,32.546594142077
2008,"ARKANSAS","DEMOCRAT","BARACK OBAMA",88854,8.17712220589223
2008,"CALIFORNIA","DEMOCRAT","BARACK OBAMA",2295853,16.9286973064246
2008,"COLORADO","DEMOCRAT","BARACK OBAMA",204882,8.53191169507625
2008,"DELAWARE","DEMOCRAT","BARACK OBAMA",178768,43.3469443178181
2008,"DISTRICT OF COLUMBIA","DEMOCRAT","BARACK OBAMA",245800,92.4571097561434
2008,"FLORIDA","DEMOCRAT","BARACK OBAMA",499831,5.95629769107084
2008,"GEORGIA","DEMOCRAT","BARACK OBAMA",272000,6.92944550678958
2008,"HAWAII","DEMOCRAT","BARACK OBAMA",214239,47.3203281339041
2008,"IDAHO","REPUBLICAN","JOHN MCCAIN",93328,14.2478535399797
2008,"ILLINOIS","DEMOCRAT","BARACK OBAMA",1629024,29.4950019472933
2008,"INDIANA","DEMOCRAT","BARACK OBAMA",241987,8.79615594604831
2008,"IOWA","DEMOCRAT","BARACK OBAMA",120984,7.87235980791505
2008,"KANSAS","REPUBLICAN","JOHN MCCAIN",152627,12.3497417208255
2008,"KENTUCKY","DEMOCRAT","BARACK OBAMA",196435,10.7546750411167
2008,"LOUISIANA","DEMOCRAT","BARACK OBAMA",116042,5.92327540663116
2008,"MARYLAND","DEMOCRAT","BARACK OBAMA",332396,12.6309661513393
2008,"MASSACHUSETTS","DEMOCRAT","BARACK OBAMA",464484,15.0741107104191
2008,"MICHIGAN","DEMOCRAT","BARACK OBAMA",660085,13.1970388058938
2008,"MINNESOTA","DEMOCRAT","BARACK OBAMA",420958,14.464076548369
2008,"MISSISSIPPI","DEMOCRAT","BARACK OBAMA",75401,5.86659965034285
2008,"MISSOURI","DEMOCRAT","BARACK OBAMA",333123,11.3880223779188
2008,"MONTANA","DEMOCRAT","BARACK OBAMA",36531,7.36405199245271
2008,"NEBRASKA","DEMOCRAT","BARACK OBAMA",116810,14.5779071262141
2008,"NEVADA","DEMOCRAT","BARACK OBAMA",380765,39.3414048486952
2008,"NEW HAMPSHIRE","DEMOCRAT","BARACK OBAMA",104820,14.7432381113127
2008,"NEW JERSEY","DEMOCRAT","BARACK OBAMA",240306,6.26041748621466
2008,"NEW MEXICO","DEMOCRAT","BARACK OBAMA",171556,20.665463682817
2008,"NEW YORK","DEMOCRAT","BARACK OBAMA",603525,7.95028949842535
2008,"NORTH CAROLINA","DEMOCRAT","BARACK OBAMA",253958,5.89121852171377
2008,"NORTH DAKOTA","DEMOCRAT","BARACK OBAMA",37622,11.8823451381936
2008,"OHIO","DEMOCRAT","BARACK OBAMA",458204,8.0414205004942
2008,"OKLAHOMA","REPUBLICAN","JOHN MCCAIN",163172,11.1558317340792
2008,"OREGON","DEMOCRAT","BARACK OBAMA",279696,15.3017948818949
2008,"PENNSYLVANIA","DEMOCRAT","BARACK OBAMA",595980,9.96958672167075
2008,"SOUTH CAROLINA","REPUBLICAN","JOHN MCCAIN",116363,6.05751576417943
2008,"SOUTH DAKOTA","DEMOCRAT","BARACK OBAMA",39838,10.5473010897307
2008,"TENNESSEE","DEMOCRAT","BARACK OBAMA",256297,9.85710681490575
2008,"TEXAS","DEMOCRAT","BARACK OBAMA",590982,7.31613020632487
2008,"UTAH","DEMOCRAT","BARACK OBAMA",176988,18.5839537154677
2008,"VERMONT","DEMOCRAT","BARACK OBAMA",59611,18.3392504445525
2008,"VIRGINIA","DEMOCRAT","BARACK OBAMA",310359,8.33567894801867
2008,"WASHINGTON","DEMOCRAT","BARACK OBAMA",648230,21.3452763002004
2008,"WEST VIRGINIA","REPUBLICAN","JOHN MCCAIN",40952,5.73998774968428
2008,"WISCONSIN","DEMOCRAT","BARACK OBAMA",319819,10.7198893081323
2008,"WYOMING","REPUBLICAN","JOHN MCCAIN",24549,9.58814224617728
2012,"ALABAMA","DEMOCRAT","BARACK OBAMA",159876,7.72216138986926
2012,"ARIZONA","REPUBLICAN","MITT ROMNEY",749885,32.614274021052
2012,"ARKANSAS","DEMOCRAT","BARACK OBAMA",87248,8.15807485590967
2012,"CALIFORNIA","DEMOCRAT","BARACK OBAMA",2216903,17.0026844248826
2012,"COLORADO","DEMOCRAT","BARACK OBAMA",222018,8.64146547372215
2012,"CONNECTICUT","DEMOCRAT","BARACK OBAMA",244639,15.2467130684509
